iter	Passed	Remaining
645	1985	1088
646	1989	1085
647	1992	1082
648	1994	1078
649	1997	1075
650	1998	1071
651	2001	1068
652	2003	1064
653	2006	1061
654	2009	1058
655	2011	1054
656	2013	1051
657	2015	1047
658	2018	1044
659	2024	1043
660	2030	1041
661	2032	1037
662	2039	1036
663	2041	1033
664	2044	1029
665	2055	1030
666	2060	1028
667	2073	1030
668	2077	1027
669	2081	1025
670	2095	1027
671	2099	1024
672	2103	1022
673	2106	1018
674	2118	1019
675	2122	1017
676	2125	1014
677	2128	1011
678	2131	1007
679	2134	1004
680	2138	1001
681	2142	998
682	2145	995
683	2147	991
684	2158	992
685	2162	990
686	2171	989
687	2173	985
688	2175	982
689	2177	978
690	2182	976
691	2191	975
692	2193	971
693	2197	968
694	2203	967
695	2205	963
696	2208	960
697	2211	956
698	2231	960
699	2233	957
700	2239	955
701	2247	953
702	2249	950
703	2251	946
704	2258	944
705	2260	941
706	2262	937
707	2264	933
708	2266	930
709	2270	927
710	2273	923
711	2275	920
712	2277	916
713	2279	912
714	2286	911
715	2288	907
716	2291	904
717	2292	900
718	2295	897
719	2298	893
720	2300	890
721	2302	886
722	2304	882
723	2306	879
724	2310	876
725	2313	873
726	2317	870
727	2319	866
728	2321	862
729	2322	859
730	2325	855
731	2327	852
732	2329	848
733	2330	844
734	2332	841
735	2334	837
736	2337	834
737	2340	830
738	2342	827
739	2344	823
740	2345	819
741	2347	816
742	2350	813
743	2353	809
744	2355	806
745	2357	802
746	2358	798
747	2361	795
748	2363	792
749	2367	789
750	2369	785
751	2372	782
752	2373	778
753	2375	775
754	2378	771
755	2380	768
756	2383	765
757	2385	761
758	2388	758
759	2390	754
760	2394	751
761	2396	748
762	2401	745
763	2404	742
764	2408	739
765	2411	736
766	2414	733
767	2427	733
768	2434	731
769	2439	728
770	2441	725
771	2446	722
772	2458	721
773	2460	718
774	2462	715
775	2473	713
776	2476	710
777	2490	710
778	2492	707
779	2502	705
780	2506	702
781	2509	699
782	2515	697
783	2518	693
784	2520	690
785	2523	686
786	2527	683
787	2533	681
788	2535	678
789	2537	674
790	2540	671
791	2545	668
792	2548	665
793	2550	661
794	2553	658
795	2555	655
796	2558	651
797	2560	648
798	2562	644
799	2567	641
800	2571	638
801	2573	635
802	2575	631
803	2579	628
804	2585	626
805	2587	622
806	2590	619
807	2593	616
808	2599	613
809	2602	610
810	2604	606
811	2609	604
812	2612	600
813	2614	597
814	2616	593
815	2618	590
816	2621	587
817	2625	584
818	2628	580
819	2630	577
820	2633	574
821	2639	571
822	2644	568
823	2648	565
824	2656	563
825	2658	559
826	2660	556
827	2663	553
828	2667	550
829	2670	546
830	2672	543
831	2674	539
832	2676	536
833	2679	533
834	2682	530
835	2685	526
836	2687	523
837	2690	520
838	2694	517
839	2697	513
840	2701	510
841	2704	507
842	2708	504
843	2711	501
844	2714	497
845	2717	494
846	2719	491
847	2721	487
848	2724	484
849	2727	481
850	2729	477
851	2731	474
852	2734	471
853	2739	468
854	2741	464
855	2743	461
856	2746	458
857	2748	454
858	2751	451
859	2754	448
860	2756	445
861	2759	441
862	2762	438
863	2765	435
864	2768	432
865	2770	428
866	2772	425
867	2774	421
868	2776	418
869	2779	415
870	2782	412
871	2783	408
872	2785	405
873	2788	402
874	2791	398
875	2793	395
876	2797	392
877	2799	389
